,mc1,mc2,mc3,mc4,mc5
EX_thr_L,341.0019587589859,399.7977590863261,390.1449433202931,399.97783980080953,350.4284216672986
EX_thymd,67.51352433501756,361.9595716104511,203.8514551793373,4.914284810969548,151.1190759320807
EX_tre,0.0,0.0,0.0,0.0,0.0
EX_trp_L,27.573627600776263,3.398568128058173,6.92989047599599,-0.04733359492013278,67.35981151041096
EX_trypta,102.93385303744594,1.1023744028676674,94.002080645432,392.6852032794882,94.73084473595623
EX_tsul,0.0,0.0,0.0,0.0,0.0
EX_ttdca,61.2019869105402,7.650022244309412,15.46950555467697,-3.5170218097846373e-06,149.3505370534565
EX_tym,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_tyr_L,277.159537949821,399.78311576317856,379.50963249870006,399.7407969740625,296.79892317611075
EX_ura,-0.0001697319270306,-0.0048848851449747,-0.0001002195494947,-6.572565894202853e-05,-9.282811504363053e-05
EX_urea,0.0015937066200422,1.6914682760216238e-05,0.0014554041335941,-1.1368683772161603e-12,0.001466688555183282
EX_uri,67.49224574233085,361.99801561981326,203.8657003737676,4.981047600251486,151.143211229931
EX_val_L,61.01095313655583,7.363073516768054,15.135763231768578,-0.28563157845871956,149.42065644563513
EX_xan,1.259200000125702,35.961978104275204,0.7475999521817585,0.49373040109321664,0.6932001702425623
EX_zn2,-0.0044273449906313,-0.0078315190008879,-0.0063397898298944,-0.0031814935214242723,-0.003711870675829232
